date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:53	35318/35318	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274fe6ca90992aada1c72a5386bf63493%22	https://boostroyal.fr/polyfills.132fcb7818eadf3e.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/polyfills.132fcb7818eadf3e.js	(from https://boostroyal.fr/)
19:00:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:23%20GMT	http://boostroyal.fr/valorant-boosting/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/valorant-boosting/index.html	(from https://boostroyal.fr/)
19:00:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:23%20GMT	http://boostroyal.fr/scripts.5a4804cffca9e041.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/scripts.5a4804cffca9e041.js	(from https://boostroyal.fr/)
19:00:53	22684/22684	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f69aef644359aee12c9167d7ad1bd5bb%22	https://boostroyal.fr/scripts.5a4804cffca9e041.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/scripts.5a4804cffca9e041.js	(from https://boostroyal.fr/)
19:00:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:24%20GMT	http://boostroyal.fr/main.ce34c7105d59d0c7.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/main.ce34c7105d59d0c7.js	(from https://boostroyal.fr/)
19:00:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:24%20GMT	http://boostroyal.fr/wild-rift-boosting/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/wild-rift-boosting/index.html	(from https://boostroyal.fr/)
19:00:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:26%20GMT	http://boostroyal.fr/blog/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/blog/index.html	(from https://boostroyal.fr/)
19:00:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:27%20GMT	http://boostroyal.fr/blog/missions-de-league-of-legends-2023-calendrier/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/blog/missions-de-league-of-legends-2023-calendrier/index.html	(from https://boostroyal.fr/)
19:00:57	19927/19927	---MCZ	200	added ('OK')	text/javascript	etag:W/2023.4.2	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/lol%20boosting/static.cloudflareinsights.com/beacon.min.js	(from https://boostroyal.fr/)
19:00:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:27%20GMT	http://boostroyal.fr/blog/tout-ce-que-vous-devez-savoir-sur-les-schtroumpfs-de-league-of-legends/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/blog/tout-ce-que-vous-devez-savoir-sur-les-schtroumpfs-de-league-of-legends/index.html	(from https://boostroyal.fr/)
19:00:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:00:28%20GMT	http://boostroyal.fr/legal/privacy-policy/	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/legal/privacy-policy/index.html	(from https://boostroyal.fr/)
19:00:58	448606/448606	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227a1a548598a0bb73033e1a93839a4f4%22	https://boostroyal.fr/main.ce34c7105d59d0c7.js	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/main.ce34c7105d59d0c7.js	(from https://boostroyal.fr/)
19:00:58	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:28%20GMT	https://boostroyal.fr/c	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/c.2c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
19:00:58	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:28%20GMT	https://boostroyal.fr/b	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/b	(from https://connect.facebook.net/en_US/fbevents.js)
19:00:59	18040/18040	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2018:00:29%20GMT	https://boostroyal.fr/POST	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/POST	(from https://connect.facebook.net/en_US/fbevents.js)
19:00:59	753/753	---M--	200	added ('OK')	image/png	etag:%2284eb37ea0ef9ddd101da81ee3c061b26%22	https://boostroyal.fr/assets/images/new/checkbox.png?v=2	C:/My%20Web%20Sites/lol%20boosting/boostroyal.fr/assets/images/new/checkbox5e1f.png	(from https://boostroyal.fr/styles.484ebcca2ea231cc.css)
19:01:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Jun%202023%2018:01:23%20GMT	http://boostroyal.fr/robots.txt		(from https://boostroyal.fr/)
